Scarab gitrev: 90931bb
Scarab started at Mon Nov  4 10:52:33 2024

Initialized Ramulator. 
Address in frontend: 000055DECEF67280, Iclass: MOV
Address in frontend: 000055DECEF67283, Iclass: PUSH
Address in frontend: 000055DECEF67284, Iclass: MOV
Address in frontend: 000055DECEF67287, Iclass: MOV
Address in frontend: 000055DECEF6728A, Iclass: ALU
Address in frontend: 000055DECEF6728D, Iclass: JUMP
Address in frontend: 000055DECEF672C0, Iclass: ALU
Address in frontend: 000055DECEF672C4, Iclass: POP
Address in frontend: 000055DECEF672C5, Iclass: MOV
Address in frontend: 000055DECEF672C8, Iclass: MOV
Address in frontend: 000055DECEF672CB, Iclass: POP
Address in frontend: 000055DECEF66AF6, Iclass: MOV
Address in frontend: 000055DECEF66AF9, Iclass: MOV
Address in frontend: 000055DECEF66AFD, Iclass: ALU
Address in frontend: 000055DECEF66B01, Iclass: JUMP
Address in frontend: 000055DECEF66A98, Iclass: MOV
Address in frontend: 000055DECEF66A9C, Iclass: MOV
Address in frontend: 000055DECEF66AA0, Iclass: ALU
Address in frontend: 000055DECEF66AA3, Iclass: ALU
Address in frontend: 000055DECEF66AA6, Iclass: JUMP
Address in frontend: 000055DECEF66AAC, Iclass: MOV
Address in frontend: 000055DECEF66AB0, Iclass: MOV
Address in frontend: 000055DECEF66AB3, Iclass: MOV
Address in frontend: 000055DECEF66AB6, Iclass: MOV
Address in frontend: 000055DECEF66ABA, Iclass: CALL
Address in frontend: 000055DECEF06F10, Iclass: MOV
